CalId;C¢digo NL;C¢digo RL;"N. RLs
Revisados";Texto do Requisito Legal;Soluá∆o;Hip¢tese de Incidància;"E / OU
(HIs)";Respons†vel pela Revis∆o;Respons†vel pela Alteraá∆o;Trecho da Carta de Atualizaá∆o;Data da Conclus∆o;Respons†vel pela Solicitaá∆o
4;10860;622;;S∆o adotadas as medidas que visam a proteá∆o respirat¢ria dos empregados? ;Nada a alterar;Manter trabalhadores expostos Ö ambientes com material em suspens∆o (aerodispers¢ides, como poeiras, fumos, nÇvoas, fumaáas, gases e vapores) ;;Amanda;Amanda;;2018;
4;10860;623;;"S∆o realizados testes de estanqueidade dos respiradores nos empregados? (Nota Ius Natura: obrigaá∆o conforme ""Programa de Proteá∆o Respirat¢ria: Recomendaá‰es, Seleá∆o e Uso de Respiradores"" da Fundacentro.)";Nada a alterar;Manter trabalhadores expostos Ö ambientes com material em suspens∆o (aerodispers¢ides, como poeiras, fumos, nÇvoas, fumaáas, gases e vapores) ;;Amanda;Amanda;;2018;
4;10860;624;;Foi elaborado Programa de Proteá∆o Respirat¢ria, conforme necessidade eventualmente apontada pelo PPRA?;Nada a alterar;Manter trabalhadores expostos Ö ambientes com material em suspens∆o (aerodispers¢ides, como poeiras, fumos, nÇvoas, fumaáas, gases e vapores) ;;Amanda;Amanda;;2018;
4;10564;636;;ê exigida dos manipuladores a utilizaá∆o de instrumentos e ou utens°lios limpos ao realizar as operaá‰es de corte e fatiamento? ;Nada a alterar;Possuir ou contratar Serviáo de Alimentaá∆o com fornecimento de alimento preparado ;;Amanda;Amanda;;2018;
4;11395;1007;;No caso de ingresso por concurso p£blico, o primeiro critÇrio de desempate Ç a idade, dando-se preferància ao de idade mais elevada? ;Nada a alterar;Realizar concursos p£blicos ;;Amanda;Amanda;;2018;
4;11395;1012;;ê garantida a participaá∆o dos idosos em atividades culturais e de lazer, proporcionada mediante descontos de pelo menos 50% (cinqÅenta por cento) nos ingressos para eventos art°sticos culturais, esportivos e de lazer, bem como o acesso preferencial aos respectivos locais?;"Mantida apenas HI ""Promover semin†rios, palestras, eventos art°sticos culturais, esportivos, de lazer e afins"".";"Exercer atividade no pa°s 

Promover semin†rios, palestras, eventos art°sticos culturais, esportivos, de lazer e afins ";E;Amanda;Amanda;;2018;
4;11395;1013;;As instituiá‰es de sa£de respeitam aos critÇrios m°nimos para o atendimento Ös necessidades do idoso, promovendo o treinamento e a capacitaá∆o dos profissionais, assim como orientaá∆o a cuidadores familiares e grupos de auto-ajuda?;Nada a alterar;Possuir ou Contratar Serviáo de Sa£de (Ambulat¢rios, Laborat¢rios MÇdicos, Consult¢rios Odontol¢gicos, Cl°nicas, Hospitais, Veterin†ria, etc) ;;Amanda;Amanda;;2018;
4;11395;1014;;ê garantido ao idoso internado ou em observaá∆o o direito a acompanhante, devendo o ¢rg∆o de sa£de proporcionar as condiá‰es adequadas para a sua permanància em tempo integral, segundo o critÇrio mÇdico?;Nada a alterar;Possuir ou Contratar Serviáo de Sa£de (Ambulat¢rios, Laborat¢rios MÇdicos, Consult¢rios Odontol¢gicos, Cl°nicas, Hospitais, Veterin†ria, etc) ;;Amanda;Amanda;;2018;
4;17048;3133;;A liberaá∆o de efluentes l°quidos e gasosos de instalaá‰es nucleares e instalaá‰es minero-industriais no meio ambiente s∆o precedidas de autorizaá∆o v†lida emitida pela CNEN?;"His substitu°das por ""Operar instalaá∆o nuclear"" OU ""Gerar rejeitos radioativos""";"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;10537;4920;;A prescriá∆o de medicamentos a base de ganglios°deos Ç feita no receitu†rio branco em duas vias (retená∆o de receita) de forma clara, leg°vel e sem rasuras, classificando o diagn¢stico conforme Classificaá∆o Estat°sticas Internacional de Doenáa e Problemas Relacionados Ö Sa£de (CID10)?  ;"His substitu°das por ""Possuir ou Contratar Serviáo de Sa£de (Ambulat¢rios, Laborat¢rios MÇdicos, Consult¢rios Odontol¢gicos, Cl°nicas, Hospitais, Veterin†ria, etc)"" E ""Usar medicamentos a base de ganglios°deos""";"Usar medicamentos controlados

Usar medicamentos a base de ganglios°deos";E;Amanda;Amanda;;2018;
